,0
0,6
1,5
2,0
3,8
4,0
5,6
6,9
7,8
8,1
9,9
10,9
11,6
12,1
13,7
14,8
15,6
16,3
17,2
18,1
19,6
20,5
21,2
22,3
23,8
24,2
25,7
26,1
27,4
28,2
29,6
30,4
31,8
32,2
33,1
34,7
35,9
36,0
37,3
38,3
39,7
40,7
41,2
42,1
43,5
44,5
45,8
46,1
47,3
48,7
49,9
50,5
51,5
52,0
53,5
54,0
55,3
56,7
57,7
58,0
59,8
60,6
61,9
62,9
63,3
64,9
65,2
66,9
67,2
68,8
69,7
70,0
71,5
72,8
73,0
74,9
75,3
76,3
77,5
78,3
79,6
80,0
81,2
82,8
83,7
84,7
85,9
86,9
87,8
88,6
89,6
90,3
91,1
92,7
93,5
94,2
95,3
96,9
97,4
98,8
99,6
100,7
101,2
102,4
103,6
104,0
105,3
106,6
107,2
108,7
109,9
110,9
111,9
112,7
113,1
114,0
115,2
116,2
117,1
118,8
119,4
120,0
121,8
122,0
123,5
124,0
125,4
126,3
127,9
128,9
129,1
130,9
131,1
132,2
133,6
134,6
135,1
136,3
137,1
138,2
139,7
140,7
141,4
142,1
143,0
144,1
145,3
146,1
147,5
148,1
149,7
150,7
151,6
152,3
153,1
154,8
155,3
156,8
157,1
158,9
159,2
160,5
161,2
162,5
163,2
164,1
165,2
166,7
167,0
168,1
169,8
170,9
171,2
172,4
173,6
174,8
175,0
176,1
177,7
178,0
179,2
180,1
181,3
182,1
183,8
184,2
185,4
186,7
187,1
188,4
189,3
190,0
191,4
192,8
193,5
194,5
195,3
196,0
197,8
198,0
199,2
200,6
201,8
202,3
203,3
204,0
205,3
206,7
207,7
208,8
209,3
210,8
211,8
212,1
213,5
214,1
215,9
216,9
217,7
218,0
219,1
220,4
221,7
222,8
223,2
224,2
225,8
226,5
227,0
228,1
229,0
230,7
231,8
232,8
233,6
234,9
235,3
236,9
237,4
238,1
239,1
240,0
241,9
242,3
243,8
244,3
245,1
246,0
247,6
248,4
249,9
250,8
251,2
252,3
253,2
254,6
255,8
256,1
257,9
258,7
259,3
260,7
261,0
262,3
263,2
264,1
265,5
266,2
267,1
268,4
269,9
270,8
271,1
272,9
273,8
274,3
275,7
276,7
277,2
278,5
279,8
280,2
281,5
282,3
283,5
284,3
285,9
286,3
287,3
288,8
289,0
290,3
291,7
292,4
293,5
294,3
295,0
296,2
297,0
298,5
299,1
300,4
301,1
302,9
303,7
304,9
305,3
306,2
307,3
308,4
309,5
310,6
311,6
312,0
313,5
